Ngày,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
2026-04-20,0,0,,
2026-04-21,0,0,,
2026-04-22,0,2,0%,9
2026-04-23,0,2,0%,6.5
2026-04-24,0,2,0%,9.5
2026-04-25,0,5,0%,7.8
2026-04-26,0,12,0%,37.1
2026-04-27,0,15,0%,27.3
2026-04-28,0,17,0%,35.5
2026-04-29,2,28,7.14%,45.9
2026-04-30,0,37,0%,55.8
2026-05-01,1,24,4.17%,52.4
2026-05-02,0,16,0%,48.8
2026-05-03,0,48,0%,65.5
2026-05-04,2,27,7.41%,35.2
2026-05-05,1,35,2.86%,31.5
2026-05-06,0,55,0%,18.5
2026-05-07,0,62,0%,35.1
2026-05-08,0,79,0%,35.1
2026-05-09,0,57,0%,36.5
2026-05-10,0,50,0%,33.9
2026-05-11,0,114,0%,35.8
2026-05-12,0,103,0%,37.2
2026-05-13,0,116,0%,25.1
